Office Name,Office ID,Area (m2),Volume (m3),Load Type,Load Name,Load Value (W),Load Value(kW),W/m2
01-Open Office,01000000,53.19900131225586,159.59710693359375,Peak Heating Load (kW),Room units heating load,6369.87451171875,6.36987451171875,119.73673103993539
01-Open Office,01000000,53.19900131225586,159.59710693359375,Peak Cooling Load (kW),Room units cooling load,0.0,0.0,0.0
01-Meeting Room,01000001,9.174599647521973,27.523799896240234,Peak Heating Load (kW),Room units heating load,1378.9093017578125,1.3789093017578125,150.29640035903378
01-Meeting Room,01000001,9.174599647521973,27.523799896240234,Peak Cooling Load (kW),Room units cooling load,802.6240234375,0.8026240234375,87.48327494097096
01-Private Office,01000002,7.468800067901611,22.406400680541992,Peak Heating Load (kW),Room units heating load,1278.1568603515625,1.2781568603515625,171.13282571917415
01-Private Office,01000002,7.468800067901611,22.406400680541992,Peak Cooling Load (kW),Room units cooling load,718.7079467773438,0.7187079467773437,96.22803398716061
